Source,Target,Y2009
29,164,10919000.0
164,29,3655000.0
164,33,3589000.0
147,62,2622000.0
128,33,2545000.0
164,101,2516000.0
62,57,1880000.0
147,162,1750000.0
29,33,1713000.0
56,62,1581000.0
7,62,1402000.0
62,7,1387000.0
62,79,1384000.0
14,57,1360000.0
164,81,1346000.0
7,79,1325000.0
62,162,1295000.0
33,164,1264000.0
62,107,1228000.0
57,62,1215000.0
21,33,1212000.0
62,122,1208000.0
147,107,1180000.0
81,33,1118342.0
56,162,1023000.0
74,81,1000000.0
14,107,1000000.0
29,81,928000.0
74,33,919000.0
21,164,893000.0
57,143,893000.0
32,33,892000.0
107,62,889890.0
147,79,872000.0
62,14,869000.0
14,62,852000.0
57,79,797000.0
57,162,783000.0
62,148,763000.0
33,81,761000.0
96,81,756936.0
62,164,741000.0
143,57,680000.0
57,14,676000.0
148,62,663195.0
164,125,659000.0
143,123,649161.0
164,79,630000.0
147,57,625000.0
122,62,601702.0
147,114,599891.0
62,41,577000.0
110,33,561099.0
164,62,553000.0
123,143,543072.0
79,62,525000.0
62,143,525000.0
21,107,514000.0
151,33,509311.0
79,57,484000.0
147,143,464000.0
41,62,450944.0
62,33,448000.0
56,57,447000.0
62,128,442093.0
56,128,441427.0
147,33,440000.0
107,57,425878.0
107,14,422649.0
96,73,415806.0
56,143,409000.0
62,157,408000.0
128,49,397000.0
21,14,392000.0
56,14,376000.0
164,162,373000.0
21,79,373000.0
128,81,365000.0
162,77,364288.0
143,79,357000.0
74,125,356000.0
57,107,354000.0
164,73,349000.0
79,143,347000.0
162,33,345069.0
74,164,344000.0
114,62,340452.0
56,164,340000.0
128,166,339838.0
147,122,339000.0
128,56,334990.0
56,107,334000.0
128,62,333000.0
32,164,332000.0
107,33,331746.0
56,147,330000.0
105,73,320800.0
56,33,318000.0
33,125,318000.0
14,162,315000.0
81,164,311137.0
41,7,310989.0
7,148,310000.0
125,33,308013.0
107,162,307986.0
29,125,307000.0
62,147,306000.0
96,125,304555.0
7,57,304000.0
114,162,295302.0
147,14,292000.0
143,162,291000.0
56,122,287000.0
74,96,286325.0
164,21,284680.0
164,107,283000.0
118,33,280769.0
21,4,280499.0
56,81,280000.0
110,6,277679.0
123,62,273182.0
6,33,271807.0
110,81,268802.0
128,83,267042.0
56,79,263000.0
62,71,262481.0
33,73,262000.0
96,33,258146.0
162,62,257027.0
77,162,249924.0
147,81,246000.0
147,7,245000.0
147,49,244000.0
164,157,244000.0
162,57,241130.0
164,143,241000.0
29,162,241000.0
29,79,240000.0
32,101,239000.0
125,164,238102.0
165,33,236113.0
33,162,236000.0
147,56,234812.0
128,75,233892.0
110,125,233027.0
101,164,232267.0
143,107,232000.0
21,57,232000.0
143,62,229000.0
32,125,227000.0
56,49,225000.0
128,8,223875.0
122,57,218040.0
114,147,217918.0
123,57,217197.0
79,162,216000.0
21,162,215000.0
7,139,214971.0
164,57,214000.0
57,148,212000.0
128,160,209112.0
147,133,209000.0
164,14,207000.0
148,79,197846.0
62,127,195872.0
33,161,194767.0
7,41,194000.0
105,33,193709.0
41,79,192959.0
148,57,191606.0
147,2,190584.0
7,122,190000.0
81,125,188374.0
147,103,185850.0
59,33,182065.0
151,96,179829.0
29,73,179000.0
162,73,177939.0
147,157,177000.0
128,157,177000.0
96,151,176699.0
29,21,176631.0
140,33,175942.0
81,151,174924.0
138,62,174887.0
128,13,174672.0
32,107,173000.0
147,148,173000.0
14,143,172000.0
33,29,172000.0
41,138,171097.0
151,169,171097.0
33,6,170878.0
164,6,170663.0
79,33,168000.0
142,74,167778.0
164,34,167267.0
164,74,167000.0
93,57,166421.0
160,128,165338.0
7,107,165000.0
57,33,165000.0
62,73,165000.0
7,71,164102.0
93,62,162608.0
164,36,160872.0
125,75,159846.0
62,138,159658.0
162,107,157901.0
14,56,157622.0
4,21,156007.0
164,44,156000.0
164,169,155582.0
21,62,155000.0
57,164,153000.0
151,125,152582.0
21,56,152460.0
32,79,152000.0
123,162,148814.0
7,162,148000.0
14,33,148000.0
164,49,147000.0
33,151,147000.0
88,162,146686.0
157,75,145746.0
164,65,145147.0
56,157,145000.0
74,137,144733.0
137,151,144600.0
123,79,143280.0
74,133,143000.0
164,48,142232.0
137,169,141245.0
122,160,140956.0
114,14,140553.0
138,79,140439.0
137,74,140098.0
147,164,140000.0
139,79,139523.0
33,79,139000.0
165,62,138081.0
32,120,136574.0
107,79,136119.0
74,73,136000.0
33,133,136000.0
123,107,135852.0
138,41,135174.0
164,121,135137.0
33,96,134981.0
122,41,134894.0
125,73,133601.0
38,79,131481.0
164,151,131000.0
57,122,131000.0
62,6,130146.0
29,57,130000.0
62,160,129634.0
33,128,129512.0
33,169,128273.0
33,44,128000.0
29,74,128000.0
122,79,127534.0
56,160,127466.0
79,64,127238.0
7,14,127000.0
62,142,126342.0
125,81,126223.0
138,7,126045.0
21,125,126000.0
33,62,125000.0
62,133,124000.0
62,101,123000.0
62,64,122392.0
107,148,122179.0
35,33,121514.0
164,133,121000.0
33,14,121000.0
59,57,120421.0
164,47,120415.0
6,110,120230.0
44,62,120139.0
125,11,119100.0
128,162,119000.0
88,147,118940.0
74,6,118299.0
56,148,118000.0
62,29,117000.0
41,122,116292.0
164,32,116146.0
14,79,115000.0
57,123,114046.0
147,71,113262.0
96,137,112511.0
110,164,112270.0
128,125,112000.0
143,122,112000.0
21,101,112000.0
128,79,112000.0
164,96,110499.0
29,151,110000.0
33,75,109507.0
62,161,109352.0
79,157,109000.0
143,33,109000.0
62,56,108432.0
147,128,108362.0
33,137,108331.0
29,62,108000.0
127,49,107502.0
143,164,107000.0
148,7,106557.0
57,93,106470.0
7,143,106000.0
96,161,105580.0
32,34,105063.0
125,6,104825.0
57,2,104437.0
79,7,104000.0
147,74,104000.0
137,96,103982.0
62,139,102548.0
32,162,102000.0
71,57,101636.0
122,128,101410.0
128,57,101000.0
71,7,100569.0
71,62,100455.0
29,168,99927.0
33,78,99494.0
79,164,99000.0
107,122,97848.0
14,93,97714.0
110,74,97340.0
29,101,97000.0
