Id,Label,source,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
0,Afghanistan,Afghanistan,6,0,6,3,0,0,0,0,0.004851
1,Albania,Albania,10,1,11,0,3,0.409449,0.428419,0,0.003412
2,Algeria,Algeria,26,1,27,0,4,0.367059,0.384081,0.27,0.0063
3,Angola,Angola,7,2,9,1,3,0.450867,0.467949,3.416211,0.003391
4,Argentina,Argentina,18,14,32,2,3,0.493671,0.525641,8.760896,0.003804
5,Armenia,Armenia,8,0,8,3,0,0,0,0,0.003578
6,Australia,Australia,38,25,63,1,3,0.525253,0.569444,75.329683,0.00825
7,Austria,Austria,33,71,104,0,3,0.636735,0.723291,97.456383,0.005601
8,Azerbaijan,Azerbaijan,6,0,6,3,0,0,0,0,0.00313
9,Bahamas,Bahamas,2,0,2,2,0,0,0,0,0.001752
10,Bahrain,Bahrain,18,1,19,1,4,0.366197,0.383013,0.12,0.005886
11,Bangladesh,Bangladesh,22,2,24,1,3,0.45481,0.471154,0,0.005889
12,Barbados,Barbados,2,0,2,2,0,0,0,0,0.001722
13,Belarus,Belarus,10,28,38,0,3,0.514851,0.569444,11.794908,0.002478
14,Belgium,Belgium,47,73,120,0,2,0.65272,0.733974,296.172339,0.011013
16,Belize,Belize,2,0,2,2,0,0,0,0,0.001722
17,Benin,Benin,2,1,3,2,4,0.367059,0.384081,0,0.002066
18,Bhutan,Bhutan,1,0,1,1,0,0,0,0,0.002303
19,Bolivia (Plurinational State of),Bolivia (Plurinational State of),7,2,9,2,3,0.45481,0.471154,0.45399,0.003262
20,Bosnia and Herzegovina,Bosnia and Herzegovina,14,20,34,0,3,0.498403,0.541667,2.538645,0.003187
21,Brazil,Brazil,25,79,104,2,2,0.669528,0.753205,216.741604,0.006367
22,Brunei Darussalam,Brunei Darussalam,2,0,2,1,0,0,0,0,0.002081
23,Bulgaria,Bulgaria,20,26,46,0,3,0.518272,0.567308,10.657968,0.004416
24,Burkina Faso,Burkina Faso,3,0,3,2,0,0,0,0,0.002434
26,Cabo Verde,Cabo Verde,1,0,1,0,0,0,0,0,0.001595
27,Cambodia,Cambodia,6,3,9,1,3,0.467066,0.482906,0,0.002591
28,Cameroon,Cameroon,8,16,24,1,3,0.501608,0.535256,0.193921,0.002646
29,Canada,Canada,29,64,93,2,3,0.619048,0.700855,156.885314,0.006982
30,Central African Republic,Central African Republic,0,4,4,3,3,0.464497,0.483015,0,0.001496
32,Chile,Chile,27,59,86,2,3,0.611765,0.686966,133.586756,0.006714
33,China,China,94,120,214,1,2,0.8125,0.884615,5644.861037,0.054545
34,Colombia,Colombia,23,12,35,2,3,0.482972,0.513889,17.657774,0.007403
35,Congo,Congo,2,10,12,1,3,0.493671,0.517094,0.138716,0.001781
36,Costa Rica,Costa Rica,17,7,24,2,3,0.461538,0.487179,20.237238,0.007066
37,Côte d'Ivoire,Côte d'Ivoire,21,17,38,2,3,0.4875,0.527778,280.299894,0.007424
38,Croatia,Croatia,20,33,53,0,3,0.525253,0.586538,18.798874,0.004031
39,Cuba,Cuba,8,5,13,2,3,0.438202,0.463675,0.126488,0.002515
40,Cyprus,Cyprus,17,1,18,0,4,0.367059,0.384081,4.604714,0.005217
41,Czechia,Czechia,32,49,81,0,3,0.58209,0.651709,39.696974,0.005482
42,Democratic People's Republic of Korea,Democratic People's Republic of Korea,1,0,1,1,0,0,0,0,0.001882
43,Democratic Republic of the Congo,Democratic Republic of the Congo,2,6,8,0,3,0.467066,0.489316,0.461155,0.002128
44,Denmark,Denmark,32,20,52,0,3,0.509804,0.549145,15.304496,0.005661
45,Djibouti,Djibouti,4,0,4,1,0,0,0,0,0.002652
46,Dominica,Dominica,1,0,1,2,0,0,0,0,0.001654
47,Dominican Republic,Dominican Republic,17,4,21,2,3,0.471299,0.488248,2.174854,0.005602
48,Ecuador,Ecuador,21,16,37,2,3,0.504854,0.537393,31.009274,0.00679
49,Egypt,Egypt,46,14,60,0,3,0.414894,0.461538,913.669868,0.020815
50,El Salvador,El Salvador,16,4,20,2,4,0.375,0.400107,5.08513,0.006682
51,Equatorial Guinea,Equatorial Guinea,0,3,3,1,3,0.460411,0.477707,0,0.001496
