Id,Label,source,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality
29,Canada,Canada,43,93,136,2,0.697872,0.783537,195.265345,3,0.00734,0.351052,0.577482
164,United States of America,United States of America,76,116,192,2,0.773585,0.853659,1255.513419,3,0.016267,0.271779,0.852312
33,China,China,105,149,254,2,0.916201,0.954268,5210.639703,2,0.045775,0.176513,1
128,Russian Federation,Russian Federation,43,108,151,2,0.745455,0.829268,422.420077,1,0.007346,0.316459,0.542586
21,Brazil,Brazil,34,102,136,2,0.725664,0.810976,262.006693,3,0.006114,0.316152,0.45915
101,Mexico,Mexico,57,29,86,3,0.537705,0.582317,99.093066,3,0.011502,0.513702,0.703346
74,Indonesia,Indonesia,53,119,172,2,0.784689,0.862805,737.416688,2,0.012387,0.25118,0.680412
147,Sweden,Sweden,44,109,153,2,0.748858,0.832317,266.61882,1,0.007167,0.321101,0.549402
62,Germany,Germany,65,119,184,2,0.784689,0.862805,691.38743,3,0.012214,0.263361,0.746631
110,New Zealand,New Zealand,37,41,78,3,0.569444,0.623984,254.168235,2,0.006464,0.509091,0.491624
32,Chile,Chile,37,70,107,2,0.635659,0.713415,123.766542,3,0.006633,0.444444,0.51049
56,Finland,Finland,33,103,136,2,0.728889,0.814024,86.220318,1,0.00445,0.346088,0.417033
122,Poland,Poland,50,90,140,2,0.689076,0.77439,142.077105,1,0.007342,0.39871,0.621757
57,France,France,61,91,152,2,0.691983,0.777439,535.013045,1,0.011618,0.375768,0.734106
7,Austria,Austria,39,94,133,2,0.700855,0.786585,89.435027,1,0.005167,0.384882,0.473317
162,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,67,84,151,2,0.672131,0.756098,434.911768,1,0.013669,0.403419,0.815828
151,Thailand,Thailand,54,82,136,2,0.666667,0.75,615.937641,2,0.010077,0.293438,0.669537
107,Netherlands (Kingdom of the),Netherlands (Kingdom of the),65,92,157,2,0.694915,0.780488,429.877936,0,0.012346,0.380482,0.765158
79,Italy,Italy,69,107,176,2,0.742081,0.82622,655.419282,3,0.014713,0.307191,0.797171
81,Japan,Japan,51,49,100,2,0.587814,0.64939,105.111382,2,0.009097,0.506211,0.612816
14,Belgium,Belgium,61,100,161,2,0.719298,0.804878,375.252033,2,0.011115,0.333333,0.713179
143,Spain,Spain,65,106,171,2,0.738739,0.823171,561.555226,3,0.012044,0.309582,0.73785
41,Czechia,Czechia,41,67,108,3,0.625954,0.703252,50.288218,1,0.005689,0.517606,0.50345
165,Uruguay,Uruguay,16,38,54,3,0.557823,0.611789,12.094303,3,0.003215,0.685897,0.214347
118,Papua New Guinea,Papua New Guinea,6,9,15,3,0.49848,0.517276,0,2,0.002043,0.981818,0.092446
73,India,India,91,86,177,2,0.677686,0.762195,2703.581647,2,0.044277,0.247181,0.97766
96,Malaysia,Malaysia,53,56,109,3,0.59854,0.668699,138.388596,2,0.008605,0.436397,0.638524
169,Viet Nam,Viet Nam,61,43,104,2,0.575439,0.631098,134.120066,2,0.013765,0.503912,0.751056
123,Portugal,Portugal,47,92,139,2,0.694915,0.780488,241.192654,0,0.007736,0.343678,0.570613
6,Australia,Australia,48,50,98,3,0.587814,0.651423,77.042985,2,0.00741,0.51428,0.622978
148,Switzerland,Switzerland,37,57,94,2,0.605166,0.67378,59.479777,1,0.005704,0.601269,0.47177
125,Republic of Korea,Republic of Korea,58,73,131,3,0.640625,0.721545,288.201532,2,0.01059,0.368132,0.675617
137,Singapore,Singapore,36,61,97,2,0.614232,0.685976,104.393305,2,0.006502,0.390781,0.486261
49,Egypt,Egypt,56,30,86,3,0.515723,0.571138,124.904949,2,0.010762,0.489135,0.731092
114,Norway,Norway,31,57,88,3,0.600733,0.671748,13.42311,1,0.004139,0.599717,0.414175
121,Philippines,Philippines,40,23,63,3,0.532468,0.567073,14.912325,2,0.006733,0.705603,0.535598
139,Slovenia,Slovenia,37,75,112,2,0.648221,0.728659,36.990465,1,0.004717,0.47943,0.47373
44,Denmark,Denmark,41,40,81,3,0.561644,0.617886,24.297425,1,0.005755,0.676094,0.508957
166,Uzbekistan,Uzbekistan,17,9,26,3,0.483776,0.507114,174.908142,1,0.007401,0.69697,0.221798
140,Solomon Islands,Solomon Islands,2,8,10,3,0.495468,0.513211,0,2,0.001607,0.972222,0.037799
88,Latvia,Latvia,29,51,80,3,0.589928,0.654472,8.443895,1,0.003967,0.694485,0.394821
77,Ireland,Ireland,36,28,64,3,0.541254,0.582317,6.195818,1,0.004855,0.745243,0.472847
4,Argentina,Argentina,30,21,51,3,0.527331,0.559959,9.766038,3,0.004624,0.697724,0.393243
157,TÃ¼rkiye,TÃ¼rkiye,67,86,153,3,0.674897,0.761179,850.70351,1,0.018656,0.323376,0.781453
161,United Arab Emirates,United Arab Emirates,65,64,129,3,0.618868,0.694106,555.559307,2,0.017087,0.346946,0.813307
83,Kazakhstan,Kazakhstan,20,6,26,3,0.491018,0.506098,171.630081,1,0.005072,0.705628,0.256417
51,Equatorial Guinea,Equatorial Guinea,2,4,6,3,0.489552,0.501016,0,2,0.001599,0.75,0.03939
87,Lao People's Democratic Republic,Lao People's Democratic Republic,2,5,7,3,0.491018,0.504065,0,2,0.001607,1,0.037799
28,Cameroon,Cameroon,20,32,52,3,0.550336,0.595528,5.736378,2,0.003974,0.663866,0.319222
59,Gabon,Gabon,6,21,27,3,0.529032,0.560976,0.519142,2,0.002079,0.717391,0.102353
142,South Africa,South Africa,51,57,108,2,0.605166,0.67378,426.626383,2,0.010586,0.435135,0.659917
65,Guatemala,Guatemala,25,12,37,3,0.510903,0.531504,5.073983,3,0.0055,0.729064,0.345147
127,Romania,Romania,42,73,115,2,0.643137,0.722561,101.831988,1,0.007229,0.49614,0.539778
133,Saudi Arabia,Saudi Arabia,58,37,95,3,0.559727,0.610772,209.773959,2,0.015269,0.495244,0.733207
36,Costa Rica,Costa Rica,30,16,46,3,0.51735,0.543699,12.916808,3,0.006728,0.686275,0.393438
113,Nigeria,Nigeria,40,9,49,3,0.5,0.518293,26.009716,0,0.009641,0.714059,0.564742
13,Belarus,Belarus,21,43,64,3,0.567474,0.627033,15.776382,1,0.003216,0.589372,0.298697
160,Ukraine,Ukraine,33,62,95,3,0.61194,0.686992,70.456446,1,0.005302,0.517113,0.445558
120,Peru,Peru,38,12,50,3,0.506173,0.528455,11.166687,3,0.007898,0.691026,0.487483
138,Slovakia,Slovakia,33,42,75,3,0.567474,0.625,8.226172,1,0.004219,0.697475,0.41807
71,Hungary,Hungary,38,46,84,3,0.573427,0.636179,17.781021,1,0.004966,0.652715,0.490986
2,Algeria,Algeria,34,5,39,3,0.468571,0.487805,2.268882,1,0.006012,0.82521,0.490751
35,Congo,Congo,9,19,28,3,0.523962,0.553862,2.169666,2,0.0027,0.857143,0.151202
48,Ecuador,Ecuador,34,23,57,3,0.530744,0.566057,31.785003,3,0.007715,0.664024,0.473283
38,Croatia,Croatia,31,50,81,3,0.585714,0.650407,27.347742,1,0.005037,0.575472,0.41124
8,Azerbaijan,Azerbaijan,11,2,13,4,0.404938,0.426321,0.833333,1,0.004462,0.772727,0.135579
53,Estonia,Estonia,35,59,94,3,0.605166,0.677846,22.375011,1,0.004713,0.596262,0.461529
92,Lithuania,Lithuania,35,50,85,3,0.585714,0.650407,21.286736,1,0.004701,0.626566,0.458965
78,Israel,Israel,48,19,67,3,0.523962,0.553862,14.434691,1,0.007612,0.698431,0.631326
75,Iran (Islamic Republic of),Iran (Islamic Republic of),37,13,50,3,0.50774,0.531504,40.832776,1,0.00704,0.687632,0.508667
11,Bangladesh,Bangladesh,32,5,37,3,0.491018,0.504065,2.323807,2,0.005583,0.72549,0.447766
47,Dominican Republic,Dominican Republic,28,7,35,3,0.501529,0.515244,4.408473,3,0.006217,0.761084,0.38678
70,Honduras,Honduras,21,10,31,3,0.506173,0.52439,13.395703,3,0.004448,0.71,0.287683
116,Pakistan,Pakistan,51,13,64,3,0.504615,0.529472,23.99676,2,0.009716,0.660377,0.662055
27,Cambodia,Cambodia,16,4,20,3,0.49848,0.507114,0.060606,2,0.003516,0.866667,0.242817
103,Morocco,Morocco,42,7,49,3,0.473988,0.495935,16.660389,1,0.007192,0.688384,0.546742
34,Colombia,Colombia,34,26,60,3,0.534202,0.574187,33.481475,3,0.007753,0.61945,0.446282
144,Sri Lanka,Sri Lanka,34,12,46,3,0.506173,0.528455,7.789563,2,0.00733,0.720484,0.487581
64,Greece,Greece,55,36,91,3,0.559727,0.60874,112.436055,1,0.01201,0.562468,0.67662
119,Paraguay,Paraguay,23,19,42,3,0.522293,0.552846,4.354799,3,0.003851,0.750538,0.309372
136,Sierra Leone,Sierra Leone,6,2,8,3,0.486647,0.494919,0,2,0.00236,0.97619,0.106171
76,Iraq,Iraq,24,2,26,3,0.442049,0.460366,1.129962,1,0.005322,0.818841,0.352024
93,Luxembourg,Luxembourg,23,13,36,3,0.506173,0.530488,0.189484,1,0.003369,0.945652,0.31565
63,Ghana,Ghana,33,36,69,3,0.557823,0.607724,178.468314,0,0.006764,0.553333,0.479891
23,Bulgaria,Bulgaria,35,47,82,3,0.571429,0.637195,20.476481,1,0.005057,0.598316,0.480784
50,El Salvador,El Salvador,31,12,43,3,0.509317,0.530488,12.423417,3,0.006778,0.664286,0.409585
172,Zimbabwe,Zimbabwe,11,3,14,3,0.37963,0.400407,4.007226,2,0.005575,0.589744,0.16036
106,Nepal,Nepal,4,1,5,3,0.404938,0.42378,0,2,0.002132,0.916667,0.076679
19,Bolivia (Plurinational State of),Bolivia (Plurinational State of),21,12,33,3,0.509317,0.530488,7.375995,3,0.004843,0.786667,0.289537
85,Kuwait,Kuwait,48,6,54,3,0.463277,0.485772,6.786573,0,0.010287,0.700798,0.648198
86,Kyrgyzstan,Kyrgyzstan,8,2,10,4,0.330645,0.339431,0.924127,1,0.003233,0.652778,0.08813
20,Bosnia and Herzegovina,Bosnia and Herzegovina,27,34,61,3,0.546667,0.597561,5.21015,1,0.003933,0.696283,0.358515
105,Myanmar,Myanmar,16,19,35,3,0.527331,0.555894,2.933917,2,0.003473,0.876667,0.244687
0,Afghanistan,Afghanistan,8,2,10,3,0.480938,0.490854,0.791667,2,0.004225,0.732143,0.125064
124,Qatar,Qatar,36,5,41,3,0.488095,0.502033,10.916542,0,0.008192,0.771772,0.504751
84,Kenya,Kenya,39,8,47,3,0.419437,0.452236,100.669123,2,0.009387,0.612957,0.536406
82,Jordan,Jordan,37,11,48,3,0.449315,0.484756,8.300504,1,0.006439,0.678848,0.520679
146,Suriname,Suriname,6,11,17,3,0.501529,0.523374,3.900013,2,0.001895,0.680952,0.091479
115,Oman,Oman,35,5,40,3,0.423773,0.450203,5.280068,2,0.007077,0.753968,0.485391
171,Zambia,Zambia,10,1,11,3,0.479532,0.487805,19.231249,2,0.004796,0.622222,0.139654
156,Tunisia,Tunisia,29,13,42,3,0.480938,0.513211,4.998238,1,0.0052,0.740476,0.42604
61,Georgia,Georgia,20,4,24,4,0.406948,0.432419,5.302919,1,0.005675,0.764286,0.273193
30,Central African Republic,Central African Republic,1,11,12,3,0.50774,0.527439,0,3,0.001361,0.863636,0.019213
42,Democratic People's Republic of Korea,Democratic People's Republic of Korea,2,1,3,3,0.479532,0.487805,0,2,0.001649,1,0.024978
90,Liberia,Liberia,5,3,8,3,0.489552,0.498984,0.101954,2,0.00208,0.928571,0.086104
150,Tajikistan,Tajikistan,7,1,8,4,0.326693,0.335366,2.125,1,0.004607,0.738095,0.072671
89,Lebanon,Lebanon,49,11,60,3,0.461972,0.494919,18.906661,1,0.008924,0.590846,0.627775
159,Uganda,Uganda,25,4,29,4,0.348195,0.364329,11.221814,2,0.006544,0.718462,0.356201
10,Bahrain,Bahrain,32,2,34,3,0.411028,0.431911,0,2,0.005321,0.826613,0.457999
97,Mali,Mali,4,1,5,3,0.480938,0.488821,0,2,0.001769,0.85,0.053356
117,Panama,Panama,20,5,25,3,0.489552,0.503049,0.810038,3,0.00443,0.811688,0.275264
126,Republic of Moldova,Republic of Moldova,17,4,21,3,0.438503,0.461382,0.063895,1,0.002789,0.952206,0.224069
3,Angola,Angola,21,3,24,3,0.485207,0.495935,1.87186,2,0.004887,0.819048,0.330255
98,Malta,Malta,22,3,25,3,0.454294,0.472561,1.729059,1,0.003996,0.82971,0.324007
104,Mozambique,Mozambique,11,6,17,3,0.495468,0.509146,18.388443,2,0.004563,0.77619,0.17258
141,Somalia,Somalia,11,0,11,0,0,0,0,2,0.004951,0.745455,0.17291
80,Jamaica,Jamaica,13,0,13,0,0,0,0,3,0.002916,0.955128,0.207044
91,Libya,Libya,17,2,19,3,0.442049,0.460366,1.377503,2,0.004797,0.797386,0.254289
1,Albania,Albania,23,2,25,3,0.428198,0.448171,0,1,0.003975,0.887352,0.330198
155,Trinidad and Tobago,Trinidad and Tobago,15,2,17,3,0.40796,0.428862,3.080531,3,0.003123,0.786765,0.222919
