Id,Label,source,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
0,Afghanistan,Afghanistan,8,2,0,2,0,0,0,0,0.003987
1,Albania,Albania,4,3,0,3,0,0,0,0,0.004729
2,Algeria,Algeria,4,13,0,13,0,0,0,0,0.011272
3,Angola,Angola,24,1,1,2,4,0.414474,0.434524,0,0.002335
4,Argentina,Argentina,4,8,6,14,4,0.448399,0.478175,66.635731,0.004269
5,Armenia,Armenia,8,2,0,2,0,0,0,0,0.002281
6,Australia,Australia,16,26,14,40,4,0.468401,0.515212,24.438969,0.010126
7,Austria,Austria,0,23,43,66,3,0.597156,0.667989,136.88818,0.008674
8,Azerbaijan,Azerbaijan,8,3,0,3,0,0,0,0,0.003297
9,Bahamas,Bahamas,4,1,0,1,0,0,0,0,0.002477
10,Bahrain,Bahrain,24,3,0,3,0,0,0,0,0.004638
11,Bangladesh,Bangladesh,16,8,0,8,0,0,0,0,0.006826
13,Belarus,Belarus,0,3,13,16,3,0.475472,0.517196,2.281389,0.00271
14,Belgium,Belgium,0,29,39,68,3,0.586047,0.652116,212.184558,0.011823
18,Bhutan,Bhutan,16,1,0,1,0,0,0,0,0.003877
19,Bolivia (Plurinational State of),Bolivia (Plurinational State of),4,1,0,1,0,0,0,0,0.002265
20,Bosnia and Herzegovina,Bosnia and Herzegovina,0,5,8,13,3,0.451613,0.48545,0.325,0.003509
21,Brazil,Brazil,4,14,47,61,3,0.59434,0.677249,478.525901,0.008518
23,Bulgaria,Bulgaria,0,13,5,18,3,0.424242,0.453704,4.637321,0.007536
27,Cambodia,Cambodia,16,4,2,6,4,0.43299,0.454365,0,0.004034
28,Cameroon,Cameroon,4,0,6,6,3,0.461818,0.488189,0,0.002111
29,Canada,Canada,16,16,33,49,3,0.545455,0.615079,34.991731,0.007123
30,Central African Republic,Central African Republic,24,0,1,1,4,0.412338,0.433071,0,0.002111
32,Chile,Chile,16,15,33,48,3,0.538462,0.611111,185.226408,0.010439
33,China,China,24,72,73,145,3,0.696133,0.787037,4272.425425,0.073678
34,Colombia,Colombia,8,13,2,15,5,0.31738,0.332275,1.261255,0.007766
35,Congo,Congo,24,1,3,4,4,0.440559,0.463624,0.166667,0.002487
36,Costa Rica,Costa Rica,4,4,2,6,4,0.418605,0.441799,249.916667,0.009531
37,Côte d'Ivoire,Côte d'Ivoire,0,1,2,3,3,0.387692,0.40873,92,0.002293
38,Croatia,Croatia,0,10,10,20,3,0.454874,0.493386,5.369348,0.004948
39,Cuba,Cuba,4,1,0,1,0,0,0,0,0.002459
40,Cyprus,Cyprus,8,2,0,2,0,0,0,0,0.00312
41,Czechia,Czechia,0,19,23,42,3,0.520661,0.574074,21.054293,0.007054
42,Democratic People's Republic of Korea,Democratic People's Republic of Korea,24,1,0,1,0,0,0,0,0.002969
43,Democratic Republic of the Congo,Democratic Republic of the Congo,24,0,1,1,4,0.412338,0.433071,0,0.002111
44,Denmark,Denmark,0,17,9,26,3,0.456522,0.492063,8.180763,0.006388
45,Djibouti,Djibouti,24,1,0,1,0,0,0,0,0.002969
47,Dominican Republic,Dominican Republic,4,4,0,4,0,0,0,0,0.004398
48,Ecuador,Ecuador,8,12,6,18,4,0.459854,0.487434,140.676486,0.012449
49,Egypt,Egypt,0,29,3,32,4,0.357955,0.382275,8.019809,0.011417
50,El Salvador,El Salvador,4,4,1,5,5,0.29717,0.30873,125.5,0.006913
51,Equatorial Guinea,Equatorial Guinea,24,0,1,1,4,0.412338,0.433071,0,0.002111
