Id,Source
0,Afghanistan
1,Albania
2,Algeria
3,Angola
4,Argentina
5,Armenia
6,Australia
7,Austria
8,Azerbaijan
9,Bahamas
10,Bahrain
11,Bangladesh
12,Barbados
13,Belarus
14,Belgium
15,Belgium-Luxembourg
16,Belize
17,Benin
18,Bhutan
19,Bolivia (Plurinational State of)
20,Bosnia and Herzegovina
21,Brazil
22,Brunei Darussalam
23,Bulgaria
24,Burkina Faso
25,Burundi
26,Cabo Verde
27,Cambodia
28,Cameroon
29,Canada
30,Central African Republic
31,Chad
32,Chile
33,China
34,Colombia
35,Congo
36,Costa Rica
37,CÃ´te d'Ivoire
38,Croatia
39,Cuba
40,Cyprus
41,Czechia
42,Democratic People's Republic of Korea
43,Democratic Republic of the Congo
44,Denmark
45,Djibouti
46,Dominica
47,Dominican Republic
48,Ecuador
49,Egypt
50,El Salvador
51,Equatorial Guinea
52,Eritrea
53,Estonia
54,Ethiopia
55,Fiji
56,Finland
57,France
58,French Polynesia
59,Gabon
60,Gambia
61,Georgia
62,Germany
63,Ghana
64,Greece
65,Guatemala
66,Guinea
67,Guinea-Bissau
68,Guyana
69,Haiti
70,Honduras
71,Hungary
72,Iceland
73,India
74,Indonesia
75,Iran (Islamic Republic of)
76,Iraq
77,Ireland
78,Israel
79,Italy
80,Jamaica
81,Japan
82,Jordan
83,Kazakhstan
84,Kenya
85,Kuwait
86,Kyrgyzstan
87,Lao People's Democratic Republic
88,Latvia
89,Lebanon
90,Liberia
91,Libya
92,Lithuania
93,Luxembourg
94,Madagascar
95,Malawi
96,Malaysia
97,Mali
98,Malta
99,Mauritania
100,Mauritius
101,Mexico
102,Mongolia
103,Morocco
104,Mozambique
105,Myanmar
106,Nepal
107,Netherlands (Kingdom of the)
108,Netherlands Antilles (former)
109,New Caledonia
110,New Zealand
111,Nicaragua
112,Niger
113,Nigeria
114,Norway
115,Oman
116,Pakistan
117,Panama
118,Papua New Guinea
119,Paraguay
120,Peru
121,Philippines
122,Poland
123,Portugal
124,Qatar
125,Republic of Korea
126,Republic of Moldova
127,Romania
128,Russian Federation
129,Rwanda
130,Saint Vincent and the Grenadines
131,Samoa
132,Sao Tome and Principe
133,Saudi Arabia
134,Senegal
135,Serbia and Montenegro
136,Sierra Leone
137,Singapore
138,Slovakia
139,Slovenia
140,Solomon Islands
141,Somalia
142,South Africa
143,Spain
144,Sri Lanka
145,Sudan (former)
146,Suriname
147,Sweden
148,Switzerland
149,Syrian Arab Republic
150,Tajikistan
151,Thailand
152,Timor-Leste
153,Togo
154,Tonga
155,Trinidad and Tobago
156,Tunisia
157,TÃ¼rkiye
158,Turkmenistan
159,Uganda
160,Ukraine
161,United Arab Emirates
162,United Kingdom of Great Britain and Northern Ireland
163,United Republic of Tanzania
164,United States of America
165,Uruguay
166,Uzbekistan
167,Vanuatu
168,Venezuela (Bolivarian Republic of)
169,Viet Nam
170,Yemen
171,Zambia
172,Zimbabwe
