Source,Target
29,164
164,33
128,33
29,33
21,33
164,29
164,101
74,33
147,62
110,33
32,33
56,62
62,122
62,57
7,62
21,164
147,162
151,33
62,107
62,7
33,164
56,33
122,62
62,79
107,62
57,62
29,81
62,162
81,33
7,79
14,57
147,107
62,164
74,81
56,162
57,143
62,14
14,107
14,62
41,62
21,107
147,79
32,164
21,79
165,33
118,33
56,164
164,73
57,79
62,41
57,14
147,33
96,81
33,169
33,81
143,123
62,33
79,62
123,143
6,33
62,148
164,79
41,7
143,57
74,125
137,33
164,125
164,81
56,14
147,57
128,49
164,74
147,114
33,121
79,57
7,139
147,44
62,143
74,137
147,122
128,166
56,79
74,164
29,73
29,74
57,162
56,122
56,107
107,14
125,164
140,33
56,143
33,125
33,73
88,162
56,147
29,125
164,169
33,96
74,73
128,56
107,57
56,57
56,128
164,62
56,49
77,162
147,143
128,62
128,81
21,4
56,81
56,157
79,143
101,164
33,161
33,6
33,162
32,125
125,33
74,96
128,83
164,107
162,33
33,151
164,162
165,107
162,77
33,29
57,107
169,33
147,164
164,157
143,62
139,79
51,33
14,162
87,33
123,62
81,125
114,147
110,125
21,101
21,57
110,6
62,128
148,62
28,33
107,162
169,125
14,33
151,125
7,122
59,33
147,14
74,169
164,143
128,73
123,57
62,157
21,62
62,44
143,79
142,33
32,101
164,65
62,147
162,62
7,148
7,57
125,169
96,73
127,33
32,107
107,33
7,41
33,133
164,14
7,33
165,79
164,36
21,143
114,62
29,121
122,79
57,33
33,101
147,7
147,81
33,113
13,128
81,151
74,133
122,41
151,169
7,162
113,33
121,81
21,14
125,73
79,162
110,81
147,49
81,164
81,169
33,137
128,160
79,33
128,125
147,73
74,121
110,73
147,157
21,125
13,122
88,147
79,164
128,164
122,57
123,107
147,133
142,73
96,33
128,13
143,164
164,151
32,120
138,122
21,32
62,71
21,162
143,2
33,74
35,33
164,48
33,128
139,7
137,169
138,62
122,147
38,79
128,8
128,53
62,101
128,79
32,81
137,73
143,162
7,71
79,122
62,127
162,57
138,41
160,122
33,62
122,92
29,101
62,73
138,7
128,122
143,107
165,62
128,157
56,2
41,33
123,79
96,125
114,162
128,162
21,81
122,162
21,120
138,71
33,157
147,56
56,133
123,162
56,78
41,122
33,78
164,121
127,79
41,138
7,81
6,110
33,75
53,147
56,53
164,6
74,11
110,164
151,96
57,164
164,47
151,161
148,79
81,96
164,32
14,56
107,122
73,33
164,133
33,11
164,70
7,14
74,161
122,107
123,157
33,116
62,6
128,75
29,162
14,164
79,7
33,14
147,2
125,96
29,151
96,151
32,79
137,74
62,29
128,107
96,121
162,73
57,148
71,79
74,6
157,162
38,49
81,121
128,88
79,157
33,27
74,151
56,6
56,125
143,103
107,79
142,74
41,79
123,164
164,34
147,103
62,81
92,88
164,49
122,138
96,164
169,96
143,33
73,161
33,49
21,133
62,139
88,53
62,138
88,62
53,56
114,14
14,79
122,128
14,143
143,122
125,74
6,164
138,79
73,144
110,74
137,151
79,64
13,92
7,164
7,38
71,62
122,71
74,162
114,107
57,123
157,75
71,122
164,96
137,121
79,139
165,125
57,122
32,34
147,71
151,133
21,34
62,160
160,127
71,7
143,157
7,143
33,32
56,121
71,127
62,133
164,21
79,14
162,164
56,103
148,57
7,127
62,142
56,44
44,62
7,138
162,107
164,122
148,73
74,49
33,79
128,92
33,142
114,44
21,119
62,123
122,160
123,122
56,73
136,33
79,107
62,161
123,33
164,120
62,56
147,41
33,76
122,127
128,14
4,33
157,76
164,142
88,107
13,88
110,151
88,92
21,73
56,101
79,148
29,62
122,33
92,122
127,71
21,142
33,21
7,107
56,7
107,164
125,75
14,93
151,73
62,125
74,157
169,164
157,64
123,49
125,81
62,21
81,73
53,62
147,137
164,57
74,113
13,62
122,143
137,96
63,33
147,74
164,103
122,7
74,116
164,161
151,164
56,142
107,7
32,162
140,73
23,64
142,151
21,49
96,137
29,107
14,122
96,169
44,147
125,6
165,7
165,57
127,49
137,11
74,75
48,34
62,78
62,114
33,120
164,78
147,138
21,157
164,50
122,44
62,96
38,139
160,33
125,11
79,71
128,57
33,107
96,74
122,157
6,96
32,169
110,96
23,157
4,21
21,169
127,81
56,64
147,101
56,160
33,2
169,81
62,77
4,32
161,133
88,33
96,161
142,172
62,151
57,7
122,14
13,160
137,161
81,74
79,127
79,38
29,6
160,157
73,106
21,19
32,73
33,122
33,57
128,127
62,49
147,116
160,128
56,71
127,122
143,73
160,71
62,74
125,121
107,143
